Authors,Title,Year,Source,Inclusion Decision,Reason
MA Cyran,Blockchain as a foundation for sharing healthcare data,2018,Blockchain in Healthcare Today,No,Excluded (E2): Technical system implementation without policy modeling
T Hulsen,Sharing is caring—data sharing initiatives in healthcare,2020,International journal of environmental research and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"B Fabian, T Ermakova, P Junghanns",Collaborative and secure sharing of healthcare data in multi-clouds,2015,Information Systems,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"MM Hassan, K Lin, X Yue, J Wan",A multimedia healthcare data sharing approach through cloud-based body area network,2017,Future Generation Computer Systems,No,Excluded (E3): Out of scope for policy modeling or code generation
JR Popovic,Distributed data networks: a blueprint for Big Data sharing and healthcare analytics,2017,Annals of the New York Academy of Sciences,No,Excluded (E3): Out of scope for policy modeling or code generation
"H Qiu, M Qiu, M Liu, G Memmi",Secure health data sharing for medical cyber-physical systems for the healthcare 4.0,2020,IEEE journal of biomedical and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"LB Elvas, JC Ferreira, MS Dias, LB Rosário",Health data sharing towards knowledge creation,2023,Systems,No,Excluded (E3): Out of scope for policy modeling or code generation
"B Shen, J Guo, Y Yang",MedChain: Efficient healthcare data sharing via blockchain,2019,Applied sciences,No,Excluded (E2): Technical system implementation without policy modeling
"DC Nguyen, PN Pathirana, M Ding…",A cooperative architecture of data offloading and sharing for smart healthcare with blockchain,2021,… on Blockchain and …,No,Excluded (E2): Technical system implementation without policy modeling
"H Jin, Y Luo, P Li, J Mathew",A review of secure and privacy-preserving medical data sharing,2019,IEEE access,No,Excluded (E3): Out of scope for policy modeling or code generation
"DJ Baldock, VG Svinenko, KE Marshall…",Electronic health record sharing using hybrid architecture,2014,US Patent …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"MT Britto, SC Fuller, HC Kaplan, U Kotagal…",Using a network organisational architecture to support the development of Learning Healthcare Systems,2018,BMJ quality & …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"M Azarm-Daigle, C Kuziemsky, L Peyton",A review of cross organizational healthcare data sharing,2015,Procedia Computer Science,No,Excluded (E3): Out of scope for policy modeling or code generation
"F Carvalho, M Maximiano, R Gomes, V Távora…",Architecture for Health Private Data Sharing using Blockchain,2025,Procedia Computer …,No,Excluded (E2): Technical system implementation without policy modeling
"RU Haque, ASMT Hasan, A Daria, A Rasool…",A novel secure and distributed architecture for privacy-preserving healthcare system,2023,Journal of Network and …,No,Excluded (E3): Out of scope for policy modeling or code generation
EFG Pinto,Architecture framework to foster clinical data sharing,2013,Health,No,Excluded (E3): Out of scope for policy modeling or code generation
"X Liang, J Zhao, S Shetty, J Liu…",Integrating blockchain for data sharing and collaboration in mobile healthcare applications,2017,2017 IEEE 28th annual …,No,Excluded (E2): Technical system implementation without policy modeling
"A Roehrs, CA Da Costa, R da Rosa Righi",OmniPHR: A distributed architecture model to integrate personal health records,2017,Journal of biomedical …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"AN Gohar, SA Abdelmawgoud, MS Farhan","A patient-centric healthcare framework reference architecture for better semantic interoperability based on blockchain, cloud, and IoT",2022,IEEE access,No,Excluded (E2): Technical system implementation without policy modeling
"KD Mandl, IS Kohane, D McFadden…",Scalable collaborative infrastructure for a learning healthcare system (SCILHS): architecture,2014,Journal of the …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"N El Aboudi, L Benhlima","Big data management for healthcare systems: architecture, requirements, and implementation",2018,Advances in bioinformatics,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
CJ van Toledo,A data sharing system architecture for scientific purposes for a Dutch health care environment,2017,,No,Excluded (E3): Out of scope for policy modeling or code generation
"C Catley, M Frize",Design of a health care architecture for medical data interoperability and application integration,2002,Proceedings of the Second Joint 24th …,No,Excluded (E1): Early publication
"R Kumar, P Kumar, R Tripathi, GP Gupta…",Permissioned blockchain and deep learning for secure and efficient data sharing in industrial healthcare systems,2022,IEEE Transactions …,No,Excluded (E2): Technical system implementation without policy modeling
"KK Azumah, LT Sørensen, R Tadayoni",Hybrid Cloud for Healthcare Data Sharing and Mobile Access: An Architectural Overview,2018,Nordic and Baltic Journal of …,No,Excluded (E3): Out of scope for policy modeling or code generation
"AG de Moraes Rossetto, C Sega, VRQ Leithardt",An architecture for managing data privacy in healthcare with blockchain,2022,Sensors,No,Excluded (E2): Technical system implementation without policy modeling
"S Amofa, EB Sifah, OB Kwame, S Abla…",A blockchain-based architecture framework for secure sharing of personal health data,2018,2018 IEEE 20th …,No,Excluded (E2): Technical system implementation without policy modeling
"E Adel, S El-Sappagh, S Barakat, KS Kwak…",Semantic architecture for interoperability in distributed healthcare systems,2022,IEEE …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
MW Bridges,… in healthcare: sharing system resources while enhancing interoperability within and between healthcare organizations with service-oriented architecture.,2007,Health Management Technology,No,Excluded (E1): Early publication
"M Kumar, H Raj, N Chaurasia, SS Gill",Blockchain inspired secure and reliable data exchange architecture for cyber-physical healthcare system 4.0,2023,Internet of Things and Cyber …,No,Excluded (E2): Technical system implementation without policy modeling
"RD Thantilage, NA Le-Khac, MT Kechadi",Healthcare data security and privacy in Data Warehouse architectures,2023,Informatics in Medicine …,No,Excluded (E4): Data management without policy or code generation focus
VL Dibbets,Designing a Regional Medical Dataspace: An Architecture for Healthcare Data Sharing in the Twente Region,2024,,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Robertson, F Giunchiglia, S Pavis…",Healthcare data safe havens: towards a logical architecture and experiment automation,2016,The Journal of …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"A Sebaa, F Chikh, A Nouicer, AK Tari","Medical big data warehouse: architecture and system design, a case study: improving healthcare resources distribution",2018,Journal of medical systems,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"R Wadhwa, A Mehra, P Singh…",A pub/sub based architecture to support public healthcare data exchange,2015,2015 7th International …,Yes,Selected as relevant primary study
"M Kumar, J Mostafa…",Federated health information architecture: enabling healthcare providers and policymakers to use data for decision-making,2018,Health Information …,No,Excluded (E3): Out of scope for policy modeling or code generation
"CVNUB Murthy, ML Shri",Secure Sharing Architecture of Personal Healthcare Data Using Private Permissioned Blockchain for Telemedicine,2024,IEEE Access,No,Excluded (E2): Technical system implementation without policy modeling
"K Osei-Tutu, S Hasavari…",Blockchain-based enterprise architecture for comprehensive healthcare information exchange (hie) data management,2020,… on Computational Science …,No,Excluded (E2): Technical system implementation without policy modeling
"YG Gong, X Chen",Healthcare information integration and shared platform based on service-oriented architectures,2010,2010 2nd International Conference on …,No,Excluded (E1): Early publication
"F Albalwy, A Brass, A Davies",A blockchain-based dynamic consent architecture to support clinical genomic data sharing (ConsentChain): Proof-of-concept study,2021,JMIR medical informatics,No,Excluded (E2): Technical system implementation without policy modeling
"S Oh, J Cha, M Ji, H Kang, S Kim…",Architecture design of healthcare software-as-a-service platform for cloud-based clinical decision support service,2015,Healthcare …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"R Wettstein, H Hund, C Fegeler…",Data sharing in distributed architectures–concept and implementation in HiGHmed,2021,German Medical Data …,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Jayasudha, C Vijayalakshmi",Blockchain meets healthcare: Architecture for secure data sharing in unobtrusive medical applications,2022,AIP Conference Proceedings,No,Excluded (E2): Technical system implementation without policy modeling
"O Ajayi, M Abouali, T Saadawi",Secured Inter-Healthcare Patient Health Records Exchange Architecture,2020,2020 IEEE International …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"AM Perumal, ERS Nadar",Architectural framework of a group key management system for enhancing e‐healthcare data security,2020,Healthcare Technology Letters,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"A Zhang, X Lin",Towards secure and privacy-preserving data sharing in e-health systems via consortium blockchain,2018,Journal of medical systems,No,Excluded (E2): Technical system implementation without policy modeling
"S Myers, J Celi, J Quinn, G Thompson…",Platform for interoperable healthcare data exchange,2008,US Patent App. 11 …,No,Excluded (E1): Early publication
"T Ismail, H Touati, N Hajlaoui, H Hamdi",Hybrid and secure E-health data sharing architecture in multi-clouds environment,2020,The Impact of Digital …,No,Excluded (E3): Out of scope for policy modeling or code generation
"G Lin, H Wang, J Wan, L Zhang, J Huang",A blockchain-based fine-grained data sharing scheme for e-healthcare system,2022,Journal of Systems Architecture,No,Excluded (E2): Technical system implementation without policy modeling
"P Zhang, J White, DC Schmidt, G Lenz…",FHIRChain: applying blockchain to securely and scalably share clinical data,2018,Computational and …,No,Excluded (E2): Technical system implementation without policy modeling
"JA Kassem, C De Laat, A Taal, P Grosso",The epi framework: A dynamic data sharing framework for healthcare use cases,2020,IEEE Access,No,Excluded (E3): Out of scope for policy modeling or code generation
"H Hund, R Wettstein, CM Heidt…",Executing distributed healthcare and research processes–the HiGHmed data sharing framework,2021,German Medical Data …,No,Excluded (E3): Out of scope for policy modeling or code generation
"L Chen, JJ Yang, Q Wang, Y Niu",A framework for privacy-preserving healthcare data sharing,2012,2012 IEEE 14th international …,Yes,Selected as relevant primary study
"AGM Alzahrani, A Alenezi, A Mershed, H Atlam, G Wills",A framework for data sharing between healthcare providers using blockchain,2020,,No,Excluded (E2): Technical system implementation without policy modeling
"MZU Rahman, S Surekha, KP Satamraju…",A collateral sensor data sharing framework for decentralized healthcare systems,2021,IEEE Sensors …,No,Excluded (E2): Technical system implementation without policy modeling
"AR Lee, MG Kim, IK Kim",SHAREChain: Healthcare data sharing framework using Blockchain-registry and FHIR,2019,2019 IEEE International Conference …,No,Excluded (E2): Technical system implementation without policy modeling
"S Lovestone, EMIF Consortium",The European medical information framework: a novel ecosystem for sharing healthcare data across Europe,2020,Learning health systems,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"AG Alzahrani, A Alhomoud, G Wills",A framework of the critical factors for healthcare providers to share data securely using blockchain,2022,Ieee Access,No,Excluded (E2): Technical system implementation without policy modeling
"S Abdullah, J Arshad, MM Khan, M Alazab…",PRISED tangle: A privacy-aware framework for smart healthcare data sharing using IOTA tangle,2023,Complex &Intelligent …,No,Excluded (E2): Technical system implementation without policy modeling
"Y Meng, Z Huang, G Shen, C Ke",SDN-based security enforcement framework for data sharing systems of smart healthcare,2019,IEEE Transactions on …,No,Excluded (E3): Out of scope for policy modeling or code generation
"Q Wang, S Qin",A hyperledger fabric-based system framework for healthcare data management,2021,Applied Sciences,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
V Patel,A framework for secure and decentralized sharing of medical imaging data via blockchain consensus,2019,Health informatics journal,No,Excluded (E2): Technical system implementation without policy modeling
"FH Semantha, S Azam, B Shanmugam…",Pbdinehr: A novel privacy by design developed framework using distributed data storage and sharing for secure and scalable electronic health records …,2023,Journal of Sensor and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"T Laohakangvalvit, T Achalakul",Cloud-based data exchange framework for healthcare services,2014,2014 11th International Joint …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"S Jain, R Doriya",Security framework to healthcare robots for secure sharing of healthcare data from cloud,2022,International Journal of Information Technology,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"P Knaup, TM Deserno, HU Prokosch…",Implementation of a national framework to promote health data sharing,2018,Yearbook of medical …,No,Excluded (E3): Out of scope for policy modeling or code generation
"K Hasan, MJM Chowdhury, K Biswas, K Ahmed…",A blockchain-based secure data-sharing framework for software defined wireless body area networks,2022,Computer Networks,No,Excluded (E2): Technical system implementation without policy modeling
"V Kamath, Y Lahari, K Mohanchandra",Blockchain based framework for secure data sharing of medicine supply chain in health care system,2022,International Journal of …,No,Excluded (E2): Technical system implementation without policy modeling
"A Kumar, P Batta, PS Rathore, S Ahuja",Secure healthcare data sharing and attack detection framework using radial basis neural network,2025,Scientific Reports,No,Excluded (E3): Out of scope for policy modeling or code generation
"F Al-Nayadi, JH Abawajy",An authorization policy management framework for dynamic medical data sharing,2007,The 2007 International Conference …,No,Excluded (E1): Early publication
"AP Singh, NR Pradhan, AK Luhach…",A novel patient-centric architectural framework for blockchain-enabled healthcare applications,2020,IEEE Transactions …,No,Excluded (E2): Technical system implementation without policy modeling
"M Awad, L Khan, B Thuraisingham",Policy enforcement system for inter-organizational data sharing,2012,Optimizing Information Security …,No,Excluded (E1): Early publication
"JS Hollywood, Z Winkelman",Improving Information-Sharing Across Law Enforcement: Why Can't We Know?,2015,,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"D Plecas, AV McCormick, J Levine, P Neal…",Evidence‐based solution to information sharing between law enforcement agencies,2011,… An International journal …,No,Excluded (E1): Early publication
"MC Mont, V Sharma, S Pearson","EnCoRe: dynamic consent, policy enforcement and accountable information sharing within and across organisations",2012,HP Laboratories Technical Report,Yes,Selected as relevant primary study
"KW Hamlen, L Kagal, M Kantarcioglu",Policy Enforcement Framework for Cloud Data Management.,2012,IEEE Data Eng. Bull.,No,Excluded (E1): Early publication
"M Le, K Kant, S Jajodia",Consistency and enforcement of access rules in cooperative data sharing environment,2014,Computers &security,No,Excluded (E3): Out of scope for policy modeling or code generation
"X Zhou, R Cushing, R Koning…",Policy enforcement for secure and trustworthy data sharing in multi-domain infrastructures,2020,… on Big Data Science …,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Falkenthal, FW Baumann, G Grünert…",Requirements and enforcement points for policies in industrial data sharing scenarios,2017,Proceedings of the …,No,Excluded (E3): Out of scope for policy modeling or code generation
D Pletea,Access Policy Enforcement Techniques to Protect Data Shared Across Domains,2014,,No,Excluded (E3): Out of scope for policy modeling or code generation
G Kent,Sharing investigation specific data with law enforcement-an international approach,2014,,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"C Galiotto, GK Papageorgiou, K Voulgaris…",Unlocking the deployment of spectrum sharing with a policy enforcement framework,2018,IEEE …,No,Excluded (E3): Out of scope for policy modeling or code generation
"JC Pickering, AM Fox",Enabling collaboration and communication across law enforcement jurisdictions: Data sharing in a multiagency partnership,2022,Criminal Justice Policy Review,No,Excluded (E3): Out of scope for policy modeling or code generation
"H Vollaard, HM van de Bovenkamp, K Vrangbæk",The emerging EU quality of care policy: from sharing information to enforcement,2013,Health Policy,No,Excluded (E3): Out of scope for policy modeling or code generation
"R Phythian, S Kirby","Perception or reality? Data protection legislation as an impediment to law enforcement information sharing, and ways to prevent it",2025,Police Practice and Research,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"WT Tsai, X Zhou, X Wei",A policy enforcement framework for verification and control of service collaboration,2008,Information Systems and E-Business …,No,Excluded (E1): Early publication
"HH Nguyen, PH Phung, PH Nguyen…",Context-driven policies enforcement for edge-based IoT data sharing-as-a-service,2022,2022 IEEE …,No,Excluded (E2): Technical system implementation without policy modeling
"KM Reynolds, PL Griset, E Scott",Law enforcement information sharing: A Florida case study,2006,American Journal of Criminal Justice,No,Excluded (E1): Early publication
"S Molldrem, MI Hussain, A McClelland",Alternatives to sharing COVID-19 data with law enforcement: Recommendations for stakeholders,2021,Health Policy,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"P Sun, C Cai, Y Zhang, DWK Yip, A Esmradi",A confidentiality preserved data sharing framework for decision support in the maritime law enforcement,2024,Marine Policy,No,Excluded (E3): Out of scope for policy modeling or code generation
"GB Roth, MJ Wren, EJ Brandwine, BI Pratt",Policy enforcement with associated data,2017,"US Patent 9,547,771",No,Excluded (E3): Out of scope for policy modeling or code generation
J Daskal,Law enforcement access to data across borders: The evolving security and rights issues,2015,J. Nat'l Sec. L. &Pol'y,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
H Aden,"Information sharing, secrecy and trust among law enforcement and secret service institutions in the European Union",2020,Secrecy in European Politics,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"D Kloza, A Mościbroda",Making the case for enhanced enforcement cooperation between data protection authorities: insights from competition law,2014,International Data Privacy Law,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"JM Park, JH Reed, AA Beex, TC Clancy…",Security and enforcement in spectrum sharing,2014,Proceedings of the …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
LB Moses,Who owns information? Law enforcement information sharing as a case study in conceptual confusion,2020,UNsWLJ,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
C Casagran,Global data protection in the field of law enforcement: an EU perspective,2016,,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"M Anisetti, CA Ardagna, C Braghin, E Damiani…",Dynamic and scalable enforcement of access control policies for big data,2021,Proceedings of the 13th …,No,Excluded (E3): Out of scope for policy modeling or code generation
"N Shi, B Tang, R Sandhu, Q Li",DUCE: Distributed usage control enforcement for private data sharing in Internet of Things,2021,Data and Applications Security and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"L Hempel, M Carius, C Ilten",Exchange of information and data between law enforcement agencies within the European Union,2009,,No,Excluded (E1): Early publication
"Y Li, CZ Wang, Y Li, J Su",Granularity decision of microservice splitting in view of maintainability and its innovation effect in government data sharing,2020,Discrete Dynamics in Nature and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Preuveneers, W Joosen",Access control with delegated authorization policy evaluation for data-driven microservice workflows,2017,Future Internet,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Rajasekar, R Moore, M Wan…",Applying rules as policies for large-scale data sharing,2010,2010 International …,No,Excluded (E1): Early publication
"Y Yang, Q Zu, P Liu, D Ouyang…",MicroShare: Privacy-preserved medical resource sharing through microservice architecture,2018,International journal of …,Yes,Selected as relevant primary study
"R Laigner, Y Zhou, MAV Salles, Y Liu…","Data management in microservices: State of the practice, challenges, and research directions",2021,arXiv preprint arXiv …,No,Excluded (E3): Out of scope for policy modeling or code generation
"C Esposito, A Castiglione…",Security and privacy for cloud-based data management in the health network service chain: a microservice approach,2017,IEEE Communications …,Yes,Selected as relevant primary study
"Y Liu, B Yang, Y Wu, C Chen…",How to share: Balancing layer and chain sharing in industrial microservice deployment,2022,IEEE Transactions on …,No,Excluded (E3): Out of scope for policy modeling or code generation
"S Pallewatta, MA Babar",Towards secure management of edge-cloud IoT microservices using policy as code,2024,European Conference on Software Architecture,No,Excluded (E2): Technical system implementation without policy modeling
"SK Gan, TL Wong, CP Goh, WP Lee…",A Review on the Development of Dataspace Connectors using Microservices Cross-Company Secured Data Exchange,2021,… Conference on Digital …,No,Excluded (E3): Out of scope for policy modeling or code generation
"J Stutterheim, A Mifsud…","DYNAMOS: dynamic microservice composition for data-exchange systems, lessons learned",2024,2024 IEEE 21st …,No,Excluded (E3): Out of scope for policy modeling or code generation
"K Alanezi, S Mishra",Utilizing microservices architecture for enhanced service sharing in IoT edge environments,2022,IEEE Access,No,Excluded (E2): Technical system implementation without policy modeling
"Y Wang, H Kadiyala, J Rubin",Promises and challenges of microservices: an exploratory study,2021,Empirical Software Engineering,No,Excluded (E3): Out of scope for policy modeling or code generation
"X Li, Y Chen, Z Lin, X Wang, JH Chen",Automatic policy generation for {Inter-Service} access control of microservices,2021,30th USENIX Security …,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Preuveneers, W Joosen",Towards multi-party policy-based access control in federations of cloud and edge microservices,2019,2019 IEEE European Symposium …,No,Excluded (E3): Out of scope for policy modeling or code generation
S Pfleger,Data Security in Microservice-Systems,2024,,No,Excluded (E3): Out of scope for policy modeling or code generation
"AS Paramita, FL Gaol, B Ranti…",Microservices Architecture As a Data Governance Tools in Decentralized E-Government,2022,… Conference on Science …,No,Excluded (E4): Data management without policy or code generation focus
"M Labiadh, C Obrecht, C Ferreira da Silva…",A microservice-based framework for exploring data selection in cross-building knowledge transfer,2021,… Oriented Computing and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Kallergis, Z Garofalaki, G Katsikogiannis…",CAPODAZ: A containerised authorisation and policy-driven architecture using microservices,2020,Ad Hoc Networks,No,Excluded (E3): Out of scope for policy modeling or code generation
"P Antunes, N Guimarães",Guiding the implementation of data privacy with microservices,2024,International Journal of Information Security,No,Excluded (E3): Out of scope for policy modeling or code generation
"W Xiaojun, S Xu, H Zhe…",Research on the construction of resource sharing platform based on microservice,2017,… Conference on Smart Grid …,No,Excluded (E3): Out of scope for policy modeling or code generation
"E Ntentos, U Zdun, K Plakidas, D Schall, F Li…",Supporting architectural decision making on data management in microservice architectures,2019,"… Conference, ECSA 2019 …",No,Excluded (E3): Out of scope for policy modeling or code generation
"K Afachao, AM Abu-Mahfouz, GP Hanke",Efficient microservice deployment in the edge-cloud networks with policy-gradient reinforcement learning,2024,IEEE Access,No,Excluded (E3): Out of scope for policy modeling or code generation
T Panagos,Policy Fabric And Sharing System For Enabling Multi-Party Data Processing In An IoT Environment,2018,"US Patent App. 15/848,807",No,Excluded (E2): Technical system implementation without policy modeling
"M Sauwens, E Heydari Beni, K Jannes…",ThunQ: A distributed and deep authorization middleware for early and lazy policy enforcement in microservice applications,2021,"… , ICSOC 2021, Virtual …",No,Excluded (E3): Out of scope for policy modeling or code generation
"W Li, ZT Li, Z Yan, Y Liu, D Zeng, H Yu, W Chen…",A data encryption and file sharing framework among microservices-based edge nodes with blockchain,2025,Peer-to-Peer Networking …,No,Excluded (E2): Technical system implementation without policy modeling
"D Lu, D Huang, A Walenstein…",A secure microservice framework for iot,2017,2017 IEEE symposium on …,No,Excluded (E2): Technical system implementation without policy modeling
"T Asik, YE Selcuk",Policy enforcement upon software based on microservice architecture,2017,2017 IEEE 15th International Conference on …,No,Excluded (E3): Out of scope for policy modeling or code generation
"S Jayaraman, A Singh",Best Practices in Microservices Architecture for Cross-Industry Interoperability,2024,International Journal of Computer Science …,No,Excluded (E3): Out of scope for policy modeling or code generation
"L Tang, H Hu, Z Wang, J Wang, Y Li",Microservice architecture design for big data in tactical cloud,2020,Big Data and Security: First …,No,Excluded (E3): Out of scope for policy modeling or code generation
"I Nadareishvili, R Mitra, M McLarty, M Amundsen","Microservice architecture: aligning principles, practices, and culture",2016,,No,Excluded (E3): Out of scope for policy modeling or code generation
"Z Li, D Seco, AE Sánchez Rodríguez",Microservice-oriented platform for internet of big data analytics: A proof of concept,2019,Sensors,No,Excluded (E3): Out of scope for policy modeling or code generation
"MD Hossain, T Sultana, S Akhter, MI Hossain, NT Thu…","The role of microservice approach in edge computing: Opportunities, challenges, and research directions",2023,ICT Express,No,Excluded (E3): Out of scope for policy modeling or code generation
"P Haindl, P Kochberger, M Sveggen",A systematic literature review of inter-service security threats and mitigation strategies in microservice architectures,2024,IEEE Access,No,Excluded (E3): Out of scope for policy modeling or code generation
"R Xu, SY Nikouei, Y Chen, E Blasch…",Blendmas: A blockchain-enabled decentralized microservices architecture for smart public safety,2019,2019 IEEE International …,No,Excluded (E2): Technical system implementation without policy modeling
N Coffing,Microservice architecture for identity and access management,2021,"US Patent 11,057,393",No,Excluded (E3): Out of scope for policy modeling or code generation
"D Da Silva, J Costa, B Assunção…",Microservice-based middleware for collaborative supply chain tracing,2020,2020 15th Iberian …,No,Excluded (E3): Out of scope for policy modeling or code generation
"Z Yang, P Nguyen, H Jin…",MIRAS: Model-based reinforcement learning for microservice resource allocation over scientific workflows,2019,2019 IEEE 39th …,No,Excluded (E3): Out of scope for policy modeling or code generation
"N Xi, J Liu, Y Li, B Qin",Decentralized access control for secure microservices cooperation with blockchain,2023,ISA transactions,No,Excluded (E2): Technical system implementation without policy modeling
"R Xu, GS Ramachandran, Y Chen…",Blendsm-ddm: Blockchain-enabled secure microservices for decentralized data marketplaces,2019,2019 IEEE …,No,Excluded (E2): Technical system implementation without policy modeling
"J Innerbichler, S Gonul…",NIMBLE collaborative platform: Microservice architectural approach to federated IoT,2017,2017 Global Internet …,No,Excluded (E2): Technical system implementation without policy modeling
"D Yu, Y Jin, Y Zhang, X Zheng",A survey on security issues in services communication of Microservices‐enabled fog applications,2019,Concurrency and Computation …,No,Excluded (E3): Out of scope for policy modeling or code generation
"N Singh, Y Hamid, S Juneja, G Srivastava…",Load balancing and service discovery using Docker Swarm for microservice based big data applications,2023,Journal of Cloud …,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Krämer, S Frese, A Kuijper",Implementing secure applications in smart city clouds using microservices,2019,Future Generation Computer Systems,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Vogel, T Bruckmeier, F Di Cerbo",General data protection regulation (GDPR) infrastructure for microservices and programming model,2020,"US Patent 10,839,099",No,Excluded (E3): Out of scope for policy modeling or code generation
